Unnamed: 0,Title,Organism,Source,Strain/Genotype,Cell/Tissue,Description,Library_Strategy,Ribosome_position,Extraction_Protocol,Tags
GSM1513197,GM18511, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18511', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513198,GM18516, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18516', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513199,GM18517, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18517', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513200,GM18519, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18519', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513201,GM18520, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18520', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513202,GM18522, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18522', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513203,GM18523, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18523', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513204,GM18852, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18852', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513205,GM18853, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18853', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513206,GM18855, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18855', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513207,GM18856, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18856', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513208,GM18858, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18858', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513209,GM18861, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18861', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513210,GM18862, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18862', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513211,GM18870, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18870', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513212,GM18907, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18907', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513213,GM18909, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18909', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513214,GM18912, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18912', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513215,GM18913, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Male', 'cell line': 'GM18913', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
GSM1513216,GM18916, Homo sapiens,lymphoblastoid cell lines derived fromHapMap Yoruba individual,,Lymphoblastoid Cell Line,No description available,,,"Ribosome footprint profiling experiments were performed using ARTseqTM Ribosome Profiling kit for mammalian cells (RPHMR12126) following vendor’s instructions. Cell lysates were prepared from flash frozen pellets of 30 to 50 million live cells by repeat pipetting in 1 ml cold lysis buffer. Sephacryl S400 spin column (GE; 27-5140-01) was used for monosome isolation. For rRNA depletion, Ribo-Zero Magnetic Kit (Epicentre; MRZH11124) was used. Ribosome footprint cDNA libraries were PCR amplified (12 to 15 thermo-cycles) and barcoded using ScriptMiner Index PCR Primers (Epicentre; SMIP2124). Indexed libraries were pooled to sequence on an Illumina HiSeq 2500.","{'gender': 'Female', 'cell line': 'GM18916', 'cell type': 'Lymphoblastoid Cell Line', 'enrichment type': 'ribosome protected fragments', 'molecule subtype': 'cytoplasmic RNA'}"
